"name","yearpublished","minplayers","maxplayers","minplaytime","maxplaytime","minage","languagedependence","average","numwanting","numcomments","numplays","numplays_month","news","blogs","podcast","boardgamedesigner_cnt","boardgamepublisher_cnt","boardgamehonor_cnt","desc_word_count","dif_players","main_category","difficulty"
"The Phantom League COMBO",2010,2,6,90,90,12,3,6.45053,42,157,421,0,1,2,0,1,2,0,157,4,"Fighting","Complex"
"The Eagle and The Star",2009,2,4,180,180,12,4,7.5715,19,44,153,0,0,0,0,1,1,0,203,2,"Bluffing","Complex"
"Soccer City",2013,2,2,90,180,10,2,7.30208,30,54,233,0,3,11,1,2,1,0,233,0,"Card Game","Simple"
"The Great City of Rome",2018,2,4,60,60,10,1,6.44991,21,59,635,7,4,7,1,2,2,0,370,2,"Other","Simple"
"Mr. President",1967,2,4,60,60,12,2,6.58849,31,166,1279,1,0,3,0,1,1,0,167,2,"Card Game","Simple"
"Cyrano",2010,4,9,45,45,8,5,6.6616,40,92,259,0,0,10,1,2,2,0,225,5,"Party Game","Simple"
"Offerings",2010,3,5,60,60,10,1,6.38543,13,93,460,0,1,2,0,1,1,0,211,2,"Animals","Complex"
"Mermaid Rain",2003,3,6,45,45,10,1,6.23839,25,182,528,0,0,3,0,2,2,1,335,3,"Other","Simple"
"Battle Beyond Space",2012,3,4,30,60,13,3,6.37149,58,157,665,0,1,9,0,1,1,0,99,1,"Science Fiction","Simple"
"Venedig",2007,2,5,45,60,10,2,6.27068,25,123,758,0,0,1,1,1,1,1,106,3,"Other","Simple"
"Ci\u00fab",2014,2,4,45,45,10,1,6.13039,27,118,1235,6,3,18,1,1,1,0,126,2,"Dice","Simple"
"Garbage Day!",2016,2,5,20,30,10,3,6.10685,4,157,1347,1,2,17,3,1,4,0,230,3,"Action / Dexterity","Simple"
"Paramedics  Clear!",2017,1,4,30,40,14,1,6.92029,36,57,457,4,0,3,3,1,1,0,208,3,"Card Game","Simple"
"Victory & Honor",2004,4,4,30,30,12,0,6.42072,7,150,343,0,0,0,1,1,1,1,36,0,"Card Game","Simple"
"Comanauts",2019,2,4,90,120,14,0,6.72653,91,85,504,5,1,15,8,1,5,0,211,2,"Adventure","Simple"
"Der Pate",2010,2,4,60,60,12,3,6.23398,10,94,480,0,0,4,2,1,1,0,140,2,"Dice","Simple"
